pair_id,variant,asset,horizon,regime,split,fidelity,fill_model,markout_5s_pp,pnl_pp
smoke-base-000000,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000000,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000001,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000001,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000002,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000002,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000003,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000003,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000004,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000004,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000005,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000005,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000006,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000006,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000007,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000007,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000008,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000008,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000009,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000009,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000010,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000010,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000011,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000011,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000012,CONTROL,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000012,QUANT_V1,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000013,CONTROL,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000013,QUANT_V1,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000014,CONTROL,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000014,QUANT_V1,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000015,CONTROL,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000015,QUANT_V1,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,BASE,,0.0
smoke-base-000016,CONTROL,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000016,QUANT_V1,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000017,CONTROL,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000017,QUANT_V1,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000018,CONTROL,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000018,QUANT_V1,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000019,CONTROL,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
smoke-base-000019,QUANT_V1,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,BASE,,0.0
