pair_id,variant,asset,horizon,regime,split,fidelity,fill_model,markout_5s_pp,pnl_pp
smoke-optimistic-000000,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000000,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000001,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000001,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000002,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000002,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000003,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000003,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000004,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000004,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000005,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000005,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000006,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000006,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000007,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000007,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000008,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000008,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000009,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000009,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000010,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000010,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000011,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000011,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000012,CONTROL,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000012,QUANT_V1,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000013,CONTROL,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000013,QUANT_V1,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000014,CONTROL,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000014,QUANT_V1,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000015,CONTROL,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000015,QUANT_V1,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000016,CONTROL,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000016,QUANT_V1,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000017,CONTROL,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000017,QUANT_V1,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000018,CONTROL,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000018,QUANT_V1,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000019,CONTROL,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000019,QUANT_V1,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000020,CONTROL,BTC,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000020,QUANT_V1,BTC,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000021,CONTROL,ETH,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000021,QUANT_V1,ETH,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000022,CONTROL,BTC,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000022,QUANT_V1,BTC,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000023,CONTROL,ETH,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000023,QUANT_V1,ETH,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000024,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000024,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000025,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000025,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000026,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000026,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000027,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000027,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000028,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000028,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000029,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000029,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000030,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000030,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000031,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000031,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000032,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000032,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000033,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000033,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000034,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000034,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000035,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000035,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000036,CONTROL,BTC,1h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000036,QUANT_V1,BTC,1h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000037,CONTROL,ETH,1h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000037,QUANT_V1,ETH,1h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000038,CONTROL,BTC,4h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000038,QUANT_V1,BTC,4h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000039,CONTROL,ETH,4h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000039,QUANT_V1,ETH,4h,NORMAL_VOL-STRONG_UP,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000040,CONTROL,BTC,5m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000040,QUANT_V1,BTC,5m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000041,CONTROL,ETH,5m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000041,QUANT_V1,ETH,5m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000042,CONTROL,BTC,15m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000042,QUANT_V1,BTC,15m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000043,CONTROL,ETH,15m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000043,QUANT_V1,ETH,15m,HIGH_VOL-STRONG_DOWN,VALIDATION,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000044,CONTROL,BTC,1h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000044,QUANT_V1,BTC,1h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000045,CONTROL,ETH,1h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000045,QUANT_V1,ETH,1h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000046,CONTROL,BTC,4h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000046,QUANT_V1,BTC,4h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000047,CONTROL,ETH,4h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000047,QUANT_V1,ETH,4h,HIGH_VOL-STRONG_DOWN,VALIDATION,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000048,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000048,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000049,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000049,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000050,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000050,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000051,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000051,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000052,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000052,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000053,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000053,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000054,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000054,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000055,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000055,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000056,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000056,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000057,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000057,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000058,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000058,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000059,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000059,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,EXACT,OPTIMISTIC,,0.0
smoke-optimistic-000060,CONTROL,BTC,1h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000060,QUANT_V1,BTC,1h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000061,CONTROL,ETH,1h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000061,QUANT_V1,ETH,1h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000062,CONTROL,BTC,4h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000062,QUANT_V1,BTC,4h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
smoke-optimistic-000063,CONTROL,ETH,4h,NORMAL_VOL-STRONG_UP,OUT_OF_SAMPLE,PROXY,OPTIMISTIC,,0.0
