pair_id,variant,asset,horizon,regime,split,fidelity,fill_model,markout_5s_pp,pnl_pp
smoke-slow-000000,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000000,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000001,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000001,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000002,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000002,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000003,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000003,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000004,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000004,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000005,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000005,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000006,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000006,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000007,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000007,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000008,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000008,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000009,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000009,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000010,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000010,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000011,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000011,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000012,CONTROL,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000012,QUANT_V1,BTC,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000013,CONTROL,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000013,QUANT_V1,ETH,1h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000014,CONTROL,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000014,QUANT_V1,BTC,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000015,CONTROL,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000015,QUANT_V1,ETH,4h,NORMAL_VOL-STRONG_UP,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000016,CONTROL,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000016,QUANT_V1,BTC,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000017,CONTROL,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000017,QUANT_V1,ETH,5m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000018,CONTROL,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000018,QUANT_V1,BTC,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000019,CONTROL,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000019,QUANT_V1,ETH,15m,HIGH_VOL-STRONG_DOWN,EXPLORATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000020,CONTROL,BTC,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000020,QUANT_V1,BTC,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000021,CONTROL,ETH,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000021,QUANT_V1,ETH,1h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000022,CONTROL,BTC,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000022,QUANT_V1,BTC,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000023,CONTROL,ETH,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000023,QUANT_V1,ETH,4h,HIGH_VOL-STRONG_DOWN,EXPLORATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000024,CONTROL,BTC,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000024,QUANT_V1,BTC,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000025,CONTROL,ETH,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000025,QUANT_V1,ETH,5m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000026,CONTROL,BTC,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000026,QUANT_V1,BTC,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000027,CONTROL,ETH,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000027,QUANT_V1,ETH,15m,LOW_VOL-SIDEWAYS,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000028,CONTROL,BTC,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000028,QUANT_V1,BTC,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000029,CONTROL,ETH,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000029,QUANT_V1,ETH,1h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000030,CONTROL,BTC,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000030,QUANT_V1,BTC,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000031,CONTROL,ETH,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000031,QUANT_V1,ETH,4h,LOW_VOL-SIDEWAYS,VALIDATION,PROXY,CONSERVATIVE,,0.0
smoke-slow-000032,CONTROL,BTC,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000032,QUANT_V1,BTC,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000033,CONTROL,ETH,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000033,QUANT_V1,ETH,5m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000034,CONTROL,BTC,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000034,QUANT_V1,BTC,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000035,CONTROL,ETH,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
smoke-slow-000035,QUANT_V1,ETH,15m,NORMAL_VOL-STRONG_UP,VALIDATION,EXACT,CONSERVATIVE,,0.0
